name,cp,appearances,avg_placement,best_placement,worst_placement,median_placement,placement_std,total_wins,total_losses,total_ties,win_rate,top8_finishes,top16_finishes,top32_finishes,top64_finishes,day2_appearances,day2_rate,top8_rate,top16_rate,placement_consistency
James Kowalski,780,1,1.0,1,1,1.0,0.0,12,1,0,0.9230769230769231,1,1,1,1,1,1.0,1.0,1.0,1.0
Mauricio Patino,740,1,6.0,6,6,6.0,0.0,10,2,1,0.7692307692307693,1,1,1,1,1,1.0,1.0,1.0,1.0
Jackson Ford,1105,1,7.0,7,7,7.0,0.0,10,2,1,0.7692307692307693,1,1,1,1,1,1.0,1.0,1.0,1.0
Michael Bio,870,1,7.0,7,7,7.0,0.0,10,3,0,0.7692307692307693,1,1,1,1,1,1.0,1.0,1.0,1.0
Ajay Sridhar,692,1,7.0,7,7,7.0,0.0,10,2,1,0.7692307692307693,1,1,1,1,1,1.0,1.0,1.0,1.0
Alberto Conti,1485,2,8.0,8,8,8.0,0.0,20,5,1,0.7692307692307693,2,2,2,2,2,1.0,1.0,1.0,1.0
Michael Davidson,1500,2,8.5,6,11,8.5,3.5355339059327378,19,3,4,0.7307692307692307,1,2,2,2,2,1.0,0.5,1.0,0.2204812092115424
Rune Heiremans,1210,1,9.0,9,9,9.0,0.0,10,3,0,0.7692307692307693,0,1,1,1,1,1.0,0.0,1.0,1.0
Leon Thiemann,1005,2,11.0,2,20,11.0,12.727922061357855,20,3,3,0.7692307692307693,1,1,2,2,2,1.0,0.5,0.5,0.07284423640594942
ElNeneMalo_TCG,745,1,11.0,11,11,11.0,0.0,10,3,0,0.7692307692307693,0,1,1,1,1,1.0,0.0,1.0,1.0
Dylan Gunn,726,2,13.0,8,18,13.0,7.0710678118654755,19,4,3,0.7307692307692307,1,1,2,2,2,1.0,0.5,0.5,0.12389934309929541
nathian beck,736,1,13.0,13,13,13.0,0.0,9,1,3,0.6923076923076923,0,1,1,1,1,1.0,0.0,1.0,1.0
Anthony ARGENTE,805,1,13.0,13,13,13.0,0.0,10,2,1,0.7692307692307693,0,1,1,1,1,1.0,0.0,1.0,1.0
Rahul Reddy,1525,3,13.0,12,14,13.0,1.0,27,6,6,0.6923076923076923,0,3,3,3,3,1.0,0.0,1.0,0.5
Austin Charles,680,1,14.0,14,14,14.0,0.0,10,3,0,0.7692307692307693,0,1,1,1,1,1.0,0.0,1.0,1.0
Jerrick Gumila,880,2,14.5,7,22,14.5,10.606601717798213,19,5,2,0.7307692307692307,1,1,2,2,2,1.0,0.5,0.5,0.08615786293989429
Christian Fontenot,1040,3,15.0,10,20,15.0,5.0,29,8,2,0.7435897435897436,0,2,3,3,3,1.0,0.0,0.6666666666666666,0.16666666666666666
fabrizio inga silva,1395,2,15.0,2,28,15.0,18.384776310850235,20,3,3,0.7692307692307693,1,1,2,2,2,1.0,0.5,0.5,0.051586873325965094
Cal Connor,1175,1,15.0,15,15,15.0,0.0,9,2,2,0.6923076923076923,0,1,1,1,1,1.0,0.0,1.0,1.0
Jonathan Fabrizio Bellucci Lanciano,831,1,16.0,16,16,16.0,0.0,10,3,0,0.7692307692307693,0,1,1,1,1,1.0,0.0,1.0,1.0
Solomon Shurge,721,1,16.0,16,16,16.0,0.0,9,2,2,0.6923076923076923,0,1,1,1,1,1.0,0.0,1.0,1.0
DC DeVos,707,1,16.0,16,16,16.0,0.0,9,2,2,0.6923076923076923,0,1,1,1,1,1.0,0.0,1.0,1.0
Natalie Millar,1440,1,17.0,17,17,17.0,0.0,9,2,2,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Hunter Smith,860,1,17.0,17,17,17.0,0.0,9,2,2,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Dean Nezam,695,1,17.0,17,17,17.0,0.0,9,2,2,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Raúl Merino,785,2,17.5,4,31,17.5,19.091883092036785,19,4,3,0.7307692307692307,1,1,2,2,2,1.0,0.5,0.5,0.04977134275663489
Jan Hausmann,945,2,17.5,2,33,17.5,21.920310216782973,19,2,5,0.7307692307692307,1,1,1,2,2,1.0,0.5,0.5,0.04362942693802497
Michael Meal,730,3,18.333333333333332,4,41,10.0,19.857828011475306,29,6,4,0.7435897435897436,1,2,2,3,3,1.0,0.3333333333333333,0.6666666666666666,0.047943630537649086
Rone Nielsen,1192,2,18.5,7,30,18.5,16.263455967290593,18,3,5,0.6923076923076923,1,1,2,2,2,1.0,0.5,0.5,0.05792582909787702
tantan-h,1067,3,18.666666666666668,5,33,18.0,14.011899704655802,28,8,3,0.717948717948718,1,1,2,3,3,1.0,0.3333333333333333,0.3333333333333333,0.06661382101359625
Carlos Medina Astete,995,1,19.0,19,19,19.0,0.0,9,2,2,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Dominic Viola,599,1,19.0,19,19,19.0,0.0,9,2,2,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Ryan H,631,1,19.0,19,19,19.0,0.0,9,2,2,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
andres estefamp,785,2,19.5,1,38,19.5,26.16295090390226,21,5,0,0.8076923076923077,1,1,1,2,2,1.0,0.5,0.5,0.036814851359037684
Vince Owen,1117,1,20.0,20,20,20.0,0.0,9,3,1,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Gabriel Smart,1330,1,21.0,21,21,21.0,0.0,9,3,1,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Giovanny Sasso Silva,1704,1,22.0,22,22,22.0,0.0,9,2,2,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Justin Turner,880,2,22.5,6,39,22.5,23.33452377915607,18,4,4,0.6923076923076923,1,1,1,2,2,1.0,0.5,0.5,0.04109387999844723
Yoann Barszezak,1320,3,22.666666666666668,11,29,28.0,10.115993936995679,28,8,3,0.717948717948718,0,1,3,3,3,1.0,0.0,0.3333333333333333,0.08996046648350998
Cobi Kawasaki,760,1,23.0,23,23,23.0,0.0,9,3,1,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Joshua Frink,747,1,23.0,23,23,23.0,0.0,9,3,1,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Henry Chao,1738,1,23.0,23,23,23.0,0.0,9,3,1,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Sebastian L,1285,3,24.0,1,70,1.0,39.83716857408418,29,6,4,0.7435897435897436,2,2,2,2,3,1.0,0.6666666666666666,0.6666666666666666,0.024487495948350677
Nathan Stratford,822,1,24.0,24,24,24.0,0.0,9,3,1,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Seagrove,720,1,24.0,24,24,24.0,0.0,9,3,1,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Miloslav Poslední,1237,2,24.0,12,36,24.0,16.97056274847714,19,6,1,0.7307692307692307,0,1,1,2,2,1.0,0.0,0.5,0.05564656009922349
Jon Eng,1150,2,26.0,17,35,26.0,12.727922061357855,18,6,2,0.6923076923076923,0,0,1,2,2,1.0,0.0,0.0,0.07284423640594942
Keaton Gill,687,1,26.0,26,26,26.0,0.0,9,3,1,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
ryan Antonucci,966,3,26.0,6,50,22.0,22.271057451320086,27,9,3,0.6923076923076923,1,1,2,3,3,1.0,0.3333333333333333,0.3333333333333333,0.04297183323499008
Henry Thompson,725,1,26.0,26,26,26.0,0.0,9,3,1,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Asher J,570,1,26.0,26,26,26.0,0.0,9,3,1,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Steven Varesko,782,4,27.0,1,45,31.0,19.407902170679517,36,8,8,0.6923076923076923,1,1,2,4,4,1.0,0.25,0.25,0.049000626896218764
Brock Davis,497,1,28.0,28,28,28.0,0.0,9,3,1,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Cerys Jones,1030,2,28.0,12,44,28.0,22.627416997969522,18,6,2,0.6923076923076923,0,1,1,2,2,1.0,0.0,0.5,0.04232371232479358
Jeremy Gumila,1199,2,28.5,22,35,28.5,9.192388155425117,18,7,1,0.6923076923076923,0,0,1,2,2,1.0,0.0,0.0,0.09811243299910322
harvey scheinman,810,2,28.5,2,55,28.5,37.476659402887016,18,4,4,0.6923076923076923,1,1,1,2,2,1.0,0.5,0.5,0.02598978226069613
Brandon Baughn,645,2,29.0,18,40,29.0,15.556349186104045,17,4,5,0.6538461538461539,0,0,1,2,2,1.0,0.0,0.0,0.0603997891539587
Oscar Madsen,1120,4,29.0,11,39,33.0,12.754084313139327,35,10,7,0.6730769230769231,0,1,2,4,4,1.0,0.0,0.25,0.07270567616374841
Christian LaBella,1228,2,29.0,19,39,29.0,14.142135623730951,17,5,4,0.6538461538461539,0,0,1,2,2,1.0,0.0,0.0,0.06604088253131131
Ojvind Svinhufvud,1168,1,29.0,29,29,29.0,0.0,9,3,1,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Hasan Kunukcu,740,1,29.0,29,29,29.0,0.0,8,1,4,0.6153846153846154,0,0,1,1,1,1.0,0.0,0.0,1.0
Brent Tonisson,2020,3,29.666666666666668,6,50,33.0,22.18858565419016,26,6,7,0.6666666666666666,1,1,1,3,3,1.0,0.3333333333333333,0.3333333333333333,0.04312466551056342
Le B,680,2,30.0,3,57,30.0,38.18376618407357,19,6,1,0.7307692307692307,1,1,1,2,2,1.0,0.5,0.5,0.02552077294720217
Aneil S,774,2,30.0,15,45,30.0,21.213203435596427,17,5,4,0.6538461538461539,0,1,1,2,2,1.0,0.0,0.5,0.045018270457898496
João Pedro Medeiros Zambrano,878,2,30.0,8,52,30.0,31.11269837220809,18,5,3,0.6923076923076923,1,1,1,2,2,1.0,0.5,0.5,0.031140329237030088
Peter Lo,832,1,31.0,31,31,31.0,0.0,9,3,1,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Filippo Colamorea,820,2,31.0,30,32,31.0,1.4142135623730951,17,4,5,0.6538461538461539,0,0,2,2,2,1.0,0.0,0.0,0.4142135623730951
Gonzalo Zamorano,792,1,31.0,31,31,31.0,0.0,9,3,1,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Nathan Ginsburg,840,2,31.0,8,54,31.0,32.526911934581186,18,6,2,0.6923076923076923,1,1,1,2,2,1.0,0.5,0.5,0.02982678517935779
Jelle van Kampen,1021,1,31.0,31,31,31.0,0.0,8,1,4,0.6153846153846154,0,0,1,1,1,1.0,0.0,0.0,1.0
Snowlemon,720,3,31.333333333333332,4,76,14.0,39.0042732701602,26,8,5,0.6666666666666666,1,2,2,2,3,1.0,0.3333333333333333,0.6666666666666666,0.02499732949144499
Jack Moore,860,2,31.5,23,40,31.5,12.020815280171307,17,5,4,0.6538461538461539,0,0,1,2,2,1.0,0.0,0.0,0.07680010648203002
Dean Davis,580,2,32.0,9,55,32.0,32.526911934581186,18,7,1,0.6923076923076923,0,1,1,2,2,1.0,0.0,0.5,0.02982678517935779
LEANDRO A,827,1,32.0,32,32,32.0,0.0,9,3,1,0.6923076923076923,0,0,1,1,1,1.0,0.0,0.0,1.0
Jonah Alter,762,2,32.0,32,32,32.0,0.0,18,6,2,0.6923076923076923,0,0,2,2,2,1.0,0.0,0.0,1.0
Dylan Smeigh,735,3,32.333333333333336,4,47,46.0,24.54248017893329,26,7,6,0.6666666666666666,1,1,1,3,3,1.0,0.3333333333333333,0.3333333333333333,0.039150465929489946
Vinícius Fernandez,1370,3,32.666666666666664,10,50,38.0,20.526405757787536,27,10,2,0.6923076923076923,0,1,1,3,3,1.0,0.0,0.3333333333333333,0.04645457357126297
miguel rojas,790,3,32.666666666666664,5,52,41.0,24.583192089989723,26,6,7,0.6666666666666666,1,1,1,3,3,1.0,0.3333333333333333,0.3333333333333333,0.03908816368506584
Eder F,1144,2,33.5,4,63,33.5,41.71930009000631,18,5,3,0.6923076923076923,1,1,1,2,2,1.0,0.5,0.5,0.023408623219319517
Bodhi Robinson,835,1,34.0,34,34,34.0,0.0,9,4,0,0.6923076923076923,0,0,0,1,1,1.0,0.0,0.0,1.0
Agustin Perkins,744,1,34.0,34,34,34.0,0.0,8,1,4,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Isaiah Bradner,870,1,34.0,34,34,34.0,0.0,9,4,0,0.6923076923076923,0,0,0,1,1,1.0,0.0,0.0,1.0
zach lesage,800,2,34.5,23,46,34.5,16.263455967290593,17,6,3,0.6538461538461539,0,0,1,2,2,1.0,0.0,0.0,0.05792582909787702
Ross Cawthon,750,3,34.666666666666664,15,46,43.0,17.09775813764288,25,8,6,0.6410256410256411,0,1,1,3,3,1.0,0.0,0.3333333333333333,0.055255462715021325
Simone Canziani,807,2,35.0,21,49,35.0,19.79898987322333,17,5,4,0.6538461538461539,0,0,1,2,2,1.0,0.0,0.0,0.04807925798778345
Nolan Randall,750,1,35.0,35,35,35.0,0.0,8,2,3,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Julian Gort-Barry,1025,3,35.0,12,71,22.0,31.575306807693888,25,8,6,0.6410256410256411,0,1,2,2,3,1.0,0.0,0.3333333333333333,0.03069809920451193
Samuel Scime,740,5,35.8,9,66,37.0,25.33179819910146,43,14,8,0.6615384615384615,0,2,2,4,5,1.0,0.0,0.4,0.037976897454505165
Shane M,730,1,36.0,36,36,36.0,0.0,8,2,3,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Sergio R,607,1,36.0,36,36,36.0,0.0,9,4,0,0.6923076923076923,0,0,0,1,1,1.0,0.0,0.0,1.0
PRESTON Rutledge,790,3,36.666666666666664,9,68,33.0,29.670411748631555,26,8,5,0.6666666666666666,0,1,1,2,3,1.0,0.0,0.3333333333333333,0.0326047138915446
Julio Santos De Leon,809,1,37.0,37,37,37.0,0.0,8,2,3,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
azul C. garcia Griego,688,2,37.0,18,56,37.0,26.870057685088806,17,6,3,0.6538461538461539,0,0,1,2,2,1.0,0.0,0.0,0.03588080122758503
Elsie Croizer,700,1,37.0,37,37,37.0,0.0,8,2,3,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Makani Tran,1095,4,37.0,3,68,38.5,29.10899059282773,35,12,5,0.6730769230769231,1,1,2,3,4,1.0,0.25,0.25,0.0332126710431206
Riccardo Coviello,970,1,37.0,37,37,37.0,0.0,9,4,0,0.6923076923076923,0,0,0,1,1,1.0,0.0,0.0,1.0
Charlie Lockyer,727,3,37.666666666666664,10,78,25.0,35.72580766523457,26,10,3,0.6666666666666666,0,1,2,2,3,1.0,0.0,0.3333333333333333,0.027228808937716602
Alexander Thorvaldson,782,2,38.0,11,65,38.0,38.18376618407357,18,6,2,0.6923076923076923,0,1,1,1,2,1.0,0.0,0.5,0.02552077294720217
julius brunfeldt,1387,3,39.333333333333336,27,53,38.0,13.051181300301261,24,6,9,0.6153846153846154,0,0,1,3,3,1.0,0.0,0.0,0.07116839350571612
Noah Sakadjian,1110,2,39.5,36,43,39.5,4.949747468305833,16,5,5,0.6153846153846154,0,0,0,2,2,1.0,0.0,0.0,0.1680743603534397
Otavio Gouveia,711,2,39.5,30,49,39.5,13.435028842544403,17,6,3,0.6538461538461539,0,0,1,2,2,1.0,0.0,0.0,0.06927592669941171
rafael yuiti,1557,3,40.0,27,62,31.0,19.157244060668017,26,10,3,0.6666666666666666,0,0,2,3,3,1.0,0.0,0.0,0.04960995644991261
PEDRO PERTUSI,1292,1,40.0,40,40,40.0,0.0,8,2,3,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Aaron Walker,614,1,40.0,40,40,40.0,0.0,8,2,3,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Caleb Rogerson,1589,2,40.0,5,75,40.0,49.49747468305833,17,6,3,0.6538461538461539,1,1,1,1,2,1.0,0.5,0.5,0.019802970470828227
Maddox Corcoran,880,1,40.0,40,40,40.0,0.0,8,2,3,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
francisco-osori,1310,1,41.0,41,41,41.0,0.0,8,2,3,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Matías Martini,762,3,42.333333333333336,28,67,32.0,21.45538005567213,26,11,2,0.6666666666666666,0,0,2,2,3,1.0,0.0,0.0,0.044532757740940766
David Zheng,805,2,42.5,13,72,42.5,41.71930009000631,17,6,3,0.6538461538461539,0,1,1,1,2,1.0,0.0,0.5,0.023408623219319517
Andres Torres,731,3,42.666666666666664,29,60,39.0,15.821925715074425,26,11,2,0.6666666666666666,0,0,1,3,3,1.0,0.0,0.0,0.05944622612997764
Lucas Hamilton-foster,970,1,43.0,43,43,43.0,0.0,8,2,3,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Matthew Burris,870,1,43.0,43,43,43.0,0.0,8,2,3,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Laura Braga,831,3,43.333333333333336,21,79,30.0,31.214312956291916,25,9,5,0.6410256410256411,0,0,2,2,3,1.0,0.0,0.0,0.031042102352354703
Tim Franklin,1310,2,43.5,5,82,43.5,54.44722215136416,17,5,4,0.6538461538461539,1,1,1,1,2,1.0,0.5,0.5,0.01803516860177633
Alejo Antonio Salvador Iturbe,754,3,44.0,20,77,35.0,29.546573405388315,25,9,5,0.6410256410256411,0,0,1,2,3,1.0,0.0,0.0,0.03273689610709669
Max Johnson,727,2,44.0,2,86,44.0,59.39696961966999,18,6,2,0.6923076923076923,1,1,1,1,2,1.0,0.5,0.5,0.01655712209233626
Daniel Magda,1600,3,44.0,27,59,46.0,16.09347693943108,25,10,4,0.6410256410256411,0,0,1,3,3,1.0,0.0,0.0,0.058501848602446054
ZapdosTCG,800,4,44.75,9,73,48.5,32.232230246550834,34,13,5,0.6538461538461539,0,1,2,2,4,1.0,0.0,0.25,0.030091269607274998
Rowan Stavenow,1097,2,45.0,13,77,45.0,45.254833995939045,16,6,4,0.6153846153846154,0,1,1,1,2,1.0,0.0,0.5,0.021619361991176863
emmet hurley,910,1,45.0,45,45,45.0,0.0,8,3,2,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Ben Kim,520,1,45.0,45,45,45.0,0.0,8,3,2,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Isaiah C,776,3,45.333333333333336,41,53,42.0,6.6583281184793925,24,9,6,0.6153846153846154,0,0,0,3,3,1.0,0.0,0.0,0.13057680273413985
Aidan Khus,1015,2,45.5,21,70,45.5,34.64823227814083,16,6,4,0.6153846153846154,0,0,1,1,2,1.0,0.0,0.0,0.028051881849221198
Stefano Da Silva Fontinha Coelho,880,2,46.0,30,62,46.0,22.627416997969522,17,7,2,0.6538461538461539,0,0,1,2,2,1.0,0.0,0.0,0.04232371232479358
Grant Manley,1110,2,46.0,3,89,46.0,60.81118318204309,16,6,4,0.6153846153846154,1,1,1,1,2,1.0,0.5,0.5,0.01617830218610849
Benjamin Chang,577,1,46.0,46,46,46.0,0.0,8,3,2,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Matias Matricardi,1395,2,46.5,5,88,46.5,58.68986283848344,16,5,5,0.6153846153846154,1,1,1,1,2,1.0,0.5,0.5,0.01675326349309814
Duncan Crowley,590,2,46.5,44,49,46.5,3.5355339059327378,16,6,4,0.6153846153846154,0,0,0,2,2,1.0,0.0,0.0,0.2204812092115424
Benny Billinger,974,2,46.5,16,77,46.5,43.1335136523794,16,7,3,0.6153846153846154,0,1,1,1,2,1.0,0.0,0.5,0.0226585176942078
Christopher B,700,3,46.666666666666664,17,81,42.0,32.254198693090075,24,9,6,0.6153846153846154,0,0,1,2,3,1.0,0.0,0.0,0.030071390660445865
Esteban Ocompley,775,3,46.666666666666664,10,67,63.0,31.817186131607134,26,10,3,0.6666666666666666,0,1,1,2,3,1.0,0.0,0.3333333333333333,0.030471838627165924
Jake Riggs,610,1,47.0,47,47,47.0,0.0,8,3,2,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Tyler Vencill,540,1,47.0,47,47,47.0,0.0,8,3,2,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Pearce Blend,665,1,47.0,47,47,47.0,0.0,8,3,2,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
lucas xing,1235,4,47.0,3,76,54.5,32.93427798915086,32,11,9,0.6153846153846154,1,1,1,2,4,1.0,0.25,0.25,0.02946872776605739
Sunny Singh,608,2,47.5,27,68,47.5,28.991378028648448,17,8,1,0.6538461538461539,0,0,1,1,2,1.0,0.0,0.0,0.03334291605556694
