event_number,champion_name,champion_cp,champion_wins,champion_losses,champion_ties,total_players
1,Jonathan Sharpling,990,12,1,0,336
2,francisco-osori,1310,12,1,0,351
3,Alberto Bonsanto,725,12,1,0,339
4,Joseph Mousaed,910,12,0,1,344
5,Jan Hausmann,945,12,0,1,338
6,Caleb Gedemer,1010,12,0,1,337
7,Grant S,1267,12,0,1,345
8,Pablo Meza,717,12,1,0,342
9,Dylan Smeigh,735,12,1,0,333
10,Sebastian L,1285,12,0,1,332
11,Nicholas Moffitt,820,12,0,1,361
12,Cory Tangman,592,12,0,1,347
13,Leonardo Walbrinch,794,12,0,1,340
14,Caleb Rogerson,1589,12,1,0,343
15,Ojvind Svinhufvud,1168,12,1,0,360
16,Francesco Pasquale Caterino,860,12,0,1,347
17,rafael yuiti,1557,12,1,0,347
18,Joshua Frink,747,12,0,1,344
19,Dean Nezam,695,13,0,0,351
20,Jamie Hindley,840,13,0,0,345
21,Raúl Merino,785,12,0,1,324
22,Oscar Madsen,1120,12,0,1,362
23,Justin Kempley,880,12,0,1,349
24,Miloslav Poslední,1237,12,0,1,338
25,Brent Tonisson,2020,12,0,1,342
26,Brent Tonisson,2020,13,0,0,351
27,Yoann Barszezak,1320,12,0,1,332
28,Noah Sakadjian,1110,11,0,2,344
29,Seagrove,720,12,1,0,344
30,harvey scheinman,810,13,0,0,343
31,Vinícius Fernandez,1370,12,1,0,350
32,Owen Dalgard,1525,11,0,2,350
33,Sammy Allen,720,12,1,0,340
34,João Pedro Medeiros Zambrano,878,12,0,1,329
35,emmet hurley,910,11,0,2,347
36,Magnus Pedersen,1010,12,0,1,358
37,JayCTrainer13,680,13,0,0,337
38,Cal Connor,1175,12,1,0,342
39,Brent Tonisson,2020,13,0,0,334
40,James Kowalski,780,12,1,0,341
41,Jamie Hindley,840,12,0,1,336
42,Daniel Magda,1600,11,0,2,335
43,Michael Bio,870,12,0,1,339
44,Kian Amini,810,12,0,1,345
45,Carlos Medina Astete,995,12,1,0,334
46,Dre Alderette,680,12,1,0,344
47,Leonardo Walbrinch,794,13,0,0,349
48,Isaac Salazar,934,12,1,0,347
49,Nicolas Galaz,1302,12,0,1,345
50,Yoann Barszezak,1320,12,0,1,349
51,Noah Sakadjian,1110,12,0,1,335
52,Brent Tonisson,2020,12,1,0,336
53,Nolan Randall,750,12,1,0,348
54,Matías Martini,762,12,0,1,343
55,Brandon Joestar,645,12,1,0,338
56,Ciaran Farah,1145,12,1,0,355
57,Giovanny Sasso Silva,1704,12,1,0,349
58,Brent Tonisson,2020,12,0,1,349
59,Magnus Pedersen,1010,12,1,0,351
60,Julian Gort-Barry,1025,13,0,0,347
61,Alberto Conti,1485,12,0,1,342
62,Caleb Rogerson,1589,12,0,1,344
63,Jackson Ford,1105,12,1,0,327
64,Simon Feng,822,12,1,0,334
65,Lucas Hamilton-foster,970,11,0,2,347
66,Victor Freitas,830,12,0,1,352
67,Alejo Antonio Salvador Iturbe,754,12,1,0,344
68,Daniel Magda,1600,12,1,0,340
69,Justin Hoy,900,12,0,1,341
70,Primalbutler,660,12,0,1,345
71,Sebastian L,1285,12,0,1,347
72,francisco-osori,1310,12,0,1,341
73,JALEN JONES,670,12,0,1,341
74,Steven Varesko,782,12,1,0,351
75,harvey scheinman,810,12,1,0,335
76,Charlie Lockyer,727,11,1,1,346
77,Rahul Reddy,1525,12,1,0,343
78,julius brunfeldt,1387,12,1,0,349
79,Christian LaBella,1228,12,1,0,345
80,James Kowalski,780,12,1,0,346
81,francisco-osori,1310,12,0,1,361
82,Brent Tonisson,2020,13,0,0,345
83,Brent Tonisson,2020,12,1,0,347
84,Nathan Doyle,860,12,0,1,344
85,Giovanny Sasso Silva,1704,12,0,1,347
86,Yerco Valencia,1475,13,0,0,342
87,Andres Lostaunau,1072,11,0,2,348
88,Brent Tonisson,2020,12,0,1,339
89,Samuel Scime,740,12,1,0,333
90,Ojvind Svinhufvud,1168,12,0,1,334
91,Makani Tran,1095,12,1,0,338
92,julius brunfeldt,1387,12,1,0,344
93,Landen Kaetler,672,12,0,1,351
94,Tim Franklin,1310,13,0,0,343
95,Jeremy Medina,620,12,0,1,357
96,Gonzalo Zamorano,792,12,1,0,336
97,Victor De Velasco,1025,12,0,1,356
98,Filippo Colamorea,820,12,0,1,343
99,CHARIZARDMT,794,12,1,0,353
100,Grant Manley,1110,12,1,0,333
